gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,charges_per_month,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_13-24,tenure_group_25-48,tenure_group_49-60,tenure_group_61-72
1,0,0,0,0.1023712383613841,0,0,-0.5219756496159262,-0.2632890631964203,-0.5399864492204893,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
1,0,1,1,-0.7117434584104956,1,0,0.3374778078243394,-0.5048144831572396,0.3914956571271635,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,1,-0.7931549280876836,0,0,-0.8090131942822701,-0.7512134391325384,-0.6461016261351733,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
0,0,1,0,-0.2639803751859618,1,1,0.2843841579438598,-0.1736994214167345,0.2765520930980041,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
1,0,1,1,-1.2816237461508113,1,0,-0.6762790695810708,-0.99085091270937,-0.6746084444949295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,1.3642490183577978,1,1,0.48348534499565887,1.2709747139024437,0.4563085619000811,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,0,0,-1.2816237461508113,1,0,-1.497571466169742,-1.0017175808497631,-1.4935431594281015,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0.30589991255435406,1,0,-0.27641751891870747,0.03415030374133098,-0.1806832745084678,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,1.3235432835192036,1,1,-0.17023021915774814,0.6616070891730831,-0.21012547284565336,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1.1200146093262338,1,0,0.5183280527297236,1.1177217638255048,0.5243174928791194,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0
